,cname,pctbothbenchmark12,numtsttakr12
1,Colusa,0.0,10.0
2,Los Angeles,0.1373,102.0
3,Los Angeles,0.1593,113.0
4,Los Angeles,0.0,14.0
5,Los Angeles,0.3396,106.0
6,Orange,0.6947,190.0
7,Riverside,0.1176,17.0
8,Imperial,0.1852,27.0
9,Los Angeles,0.0882,68.0
10,Riverside,0.402,204.0
11,San Bernardino,0.0,1.0
13,Los Angeles,0.4265,68.0
14,Los Angeles,0.0,4.0
15,Riverside,0.31579999999999997,38.0
16,San Bernardino,0.0,7.0
17,San Bernardino,0.3602,186.0
18,San Diego,0.4375,64.0
20,Fresno,0.39659999999999995,237.0
21,Riverside,0.0,1.0
22,San Joaquin,0.20309999999999997,192.0
23,Los Angeles,0.39380000000000004,193.0
24,Los Angeles,0.3043,23.0
25,Los Angeles,0.6809000000000001,47.0
26,Los Angeles,0.7993000000000001,269.0
27,Nevada,0.6966,89.0
28,Orange,0.8732,205.0
29,San Mateo,0.4448,344.0
30,Contra Costa,0.2329,249.0
31,Humboldt,0.0,13.0
32,Los Angeles,0.2771,166.0
33,Los Angeles,0.0964,83.0
34,Los Angeles,0.16949999999999998,932.0
35,Placer,0.0,2.0
37,San Mateo,0.8571,147.0
38,San Mateo,0.593,86.0
39,Alameda,0.7415999999999999,178.0
40,Glenn,0.0,3.0
41,Los Angeles,0.3529,17.0
42,Los Angeles,0.0,1.0
44,San Francisco,0.9102,423.0
46,Alameda,0.0,1.0
47,Marin,0.7987000000000001,149.0
48,Riverside,0.6667000000000001,33.0
49,Sacramento,0.0,1.0
50,San Diego,0.0556,18.0
51,San Diego,0.44,25.0
52,San Joaquin,0.23379999999999998,77.0
54,Contra Costa,0.6393,244.0
55,Fresno,0.0,27.0
56,Fresno,0.5357,28.0
57,Orange,0.0,14.0
58,Riverside,0.3214,112.0
59,San Bernardino,0.6331,556.0
60,San Bernardino,0.0,79.0
61,San Bernardino,0.2175,354.0
62,El Dorado,0.0,2.0
63,Los Angeles,0.6654000000000001,263.0
64,Los Angeles,0.0323,31.0
65,Merced,0.3579,95.0
66,San Bernardino,0.29410000000000003,17.0
67,San Bernardino,0.22769999999999999,202.0
68,San Bernardino,0.46,50.0
69,San Diego,0.0,4.0
70,San Joaquin,0.578,173.0
72,Los Angeles,0.1724,29.0
73,Los Angeles,0.5826,218.0
74,Merced,0.3099,142.0
75,Merced,0.3909,110.0
76,Sacramento,0.6218,119.0
77,San Diego,0.0,4.0
78,San Diego,0.6911,191.0
80,Los Angeles,0.2114,123.0
81,Los Angeles,0.6,80.0
82,Madera,0.20929999999999999,86.0
83,Madera,0.0,2.0
85,Placer,0.5489999999999999,51.0
86,Los Angeles,0.69,100.0
87,Los Angeles,0.13849999999999998,65.0
89,Orange,0.19940000000000002,321.0
90,Sacramento,0.0,8.0
91,San Bernardino,0.1481,108.0
92,San Diego,0.7923,183.0
93,Sonoma,0.0,1.0
94,Sonoma,0.0,3.0
95,Siskiyou,0.375,16.0
96,Trinity,0.0,2.0
97,Tulare,0.0,7.0
98,Alameda,0.47619999999999996,21.0
99,Kern,0.5909,242.0
100,Los Angeles,0.0,14.0
101,Los Angeles,0.6047,296.0
102,Los Angeles,0.2,15.0
103,Orange,0.0,1.0
105,San Bernardino,0.0,2.0
106,San Bernardino,0.193,114.0
107,San Joaquin,0.20550000000000002,73.0
108,Santa Clara,0.449,49.0
109,San Joaquin,0.6061,132.0
110,Tulare,0.1,60.0
111,San Joaquin,0.2353,68.0
112,Solano,0.23329999999999998,60.0
113,Tulare,0.4462,130.0
115,San Diego,0.3062,209.0
116,San Luis Obispo,0.0,1.0
117,Santa Clara,0.8922,204.0
118,Alameda,0.8421,114.0
119,Fresno,0.0,3.0
120,Nevada,0.0,10.0
122,Ventura,0.1567,402.0
123,Stanislaus,0.4213,235.0
124,Santa Cruz,0.75,112.0
125,El Dorado,0.0,12.0
126,Los Angeles,0.0,1.0
127,Orange,0.0,2.0
128,Orange,0.6319,163.0
129,Orange,0.5907,215.0
131,Sacramento,0.2545,55.0
132,San Diego,0.7957,186.0
133,Santa Barbara,0.0,1.0
134,Santa Barbara,0.0,8.0
135,Stanislaus,0.4389,221.0
136,Kern,0.3261,46.0
137,Los Angeles,0.0,3.0
139,Riverside,0.0,5.0
140,Fresno,0.0,12.0
141,Los Angeles,0.0,1.0
142,Los Angeles,0.2368,38.0
143,Los Angeles,0.0,2.0
144,Alameda,0.953,149.0
145,Contra Costa,0.5368999999999999,203.0
146,Fresno,0.1304,69.0
148,Orange,0.7116,319.0
149,Riverside,0.4286,238.0
150,San Bernardino,0.23399999999999999,282.0
151,Contra Costa,0.32130000000000003,277.0
152,Humboldt,0.0,3.0
153,Orange,0.3504,137.0
154,Riverside,0.1996,471.0
155,San Bernardino,0.29710000000000003,138.0
156,Alameda,0.16670000000000001,42.0
158,Los Angeles,0.1389,36.0
159,Los Angeles,0.4219,64.0
160,Los Angeles,0.4703,202.0
161,Riverside,0.0,1.0
162,San Bernardino,0.516,376.0
163,San Bernardino,0.6842,19.0
164,San Diego,0.5841,113.0
165,Contra Costa,0.11539999999999999,26.0
166,Contra Costa,0.0155,129.0
167,Los Angeles,0.8654000000000001,260.0
168,Marin,0.7091,110.0
169,San Bernardino,0.4483,29.0
170,San Francisco,0.3043,23.0
171,Fresno,0.0,7.0
172,Fresno,0.6994,173.0
173,Los Angeles,0.4646,396.0
174,Los Angeles,0.175,40.0
175,Los Angeles,0.1346,52.0
176,Merced,0.3297,91.0
177,Riverside,0.2115,52.0
178,Riverside,0.0,1.0
179,San Diego,0.43479999999999996,23.0
180,San Joaquin,0.33649999999999997,104.0
181,Calaveras,0.6304,46.0
182,Colusa,0.1429,21.0
183,Monterey,0.2727,110.0
185,San Luis Obispo,0.7551000000000001,49.0
187,Madera,0.35,20.0
188,Madera,0.0,1.0
189,Placer,0.0,1.0
190,Sacramento,0.5115,217.0
192,San Diego,0.2992,127.0
193,San Diego,0.6484000000000001,219.0
194,San Diego,0.0,14.0
195,Santa Barbara,0.0,4.0
196,Orange,0.8059999999999999,335.0
197,Riverside,0.1322,174.0
198,Fresno,0.6321,299.0
199,Los Angeles,0.3182,22.0
200,Modoc,0.0,3.0
201,San Joaquin,0.0,6.0
202,Santa Clara,0.7696999999999999,165.0
203,Tulare,0.0,11.0
204,San Diego,0.0,3.0
205,Santa Cruz,0.0,2.0
206,Yolo,0.5161,31.0
207,Tehama,0.0,14.0
208,Trinity,0.0,10.0
209,Butte,0.6774,31.0
210,Fresno,0.0,4.0
211,Los Angeles,0.1304,46.0
212,Riverside,0.17079999999999998,439.0
213,Santa Clara,0.5652,46.0
214,Santa Clara,0.0882,34.0
216,Santa Clara,0.8343,344.0
217,Tulare,0.5423,142.0
218,Kern,0.0,2.0
219,Los Angeles,0.4118,34.0
220,Orange,0.0958,407.0
221,Sacramento,0.0,10.0
222,Sacramento,0.0222,45.0
223,San Diego,0.8629000000000001,175.0
224,San Luis Obispo,0.6154,52.0
226,Tuolumne,0.0,8.0
227,San Diego,0.3223,121.0
228,San Diego,0.6812999999999999,182.0
229,San Diego,0.0,1.0
230,Sonoma,0.5495,91.0
231,Los Angeles,0.095,463.0
232,Los Angeles,0.0,1.0
233,Los Angeles,0.8732,205.0
234,Riverside,0.5333,225.0
235,San Diego,0.0,1.0
236,Santa Clara,0.6327,49.0
237,Ventura,0.6386999999999999,119.0
238,San Francisco,0.2929,140.0
240,Los Angeles,0.6701,291.0
241,Riverside,0.0,2.0
242,Sutter,0.0,2.0
243,Alameda,0.0,6.0
244,Alameda,0.0,1.0
245,Butte,0.7726999999999999,22.0
246,Butte,0.0,2.0
248,Butte,0.0,6.0
249,Fresno,0.5333,60.0
251,Kern,0.2434,152.0
252,Kern,0.2541,122.0
253,Los Angeles,0.0,2.0
254,Los Angeles,0.2157,102.0
255,Los Angeles,0.6881,202.0
256,Los Angeles,0.8431000000000001,51.0
257,Monterey,0.0,3.0
258,Monterey,0.0,1.0
259,Alameda,0.0,1.0
260,Alameda,0.3023,43.0
261,Imperial,0.41759999999999997,91.0
262,Los Angeles,0.12,25.0
263,Los Angeles,0.0,54.0
264,Mendocino,0.0,4.0
266,Sacramento,0.0,1.0
267,Contra Costa,0.5,118.0
268,Contra Costa,0.0,5.0
